saleyear,salemonth,salesprice,area,beds,baths,stories,yearbuilt,neighborhood,community,lotsize,numfireplaces,fireplace
2015,8,379100.3768385057,1840,4,2,1.7,1906,CARAG,Calhoun-Isles,5455,0,FALSE
2010,10,135365.39822402812,2528,3,2,1.5,1929,Victory,Camden,5946,1,TRUE
2014,10,257357.06524028137,2286,3,1,1.2,1938,Standish,Powderhorn,6300,0,FALSE
2013,3,392926.2534333267,2206,4,2,2,1925,Tangletown,Southwest,6400,1,TRUE
2015,9,485255.9937346841,1817,3,3,1.5,1914,Tangletown,Southwest,11190,1,TRUE
2015,7,180775.96309770874,1440,3,2,1,1950,Morris Park,Nokomis,5120,0,FALSE
2011,4,287630.5819458886,1763,3,2,1.2,1949,Hale,Nokomis,5080,1,TRUE
2015,6,183340.93252039704,2000,3,1,1,1980,Willard - Hay,Near North,5160,0,FALSE
2011,4,195473.74349042587,1920,5,2,1,1974,St. Anthony East,Northeast,5160,0,FALSE
2013,9,291115.1166375501,2728,4,3,1.5,1950,Regina,Nokomis,4640,0,FALSE
2012,4,151868.29968540973,2516,3,1,1.2,1939,Waite Park,Northeast,5000,0,FALSE
2012,1,131263.44649362276,2624,4,1,1.5,1926,Willard - Hay,Near North,5800,0,FALSE
2014,5,225265.99076473716,2880,5,2,2,1906,Central,Powderhorn,5818,0,FALSE
2014,7,106387.22010290613,1908,3,1,1.5,1910,Cooper,Longfellow,5120,0,FALSE
2005,2,377891.7255717256,3072,5,4,2,1923,Como,University,5670,2,TRUE
2009,6,231668.28995763307,2275,3,2,2.5,1905,Central,Powderhorn,5818,0,FALSE
2006,12,330690.06400787795,2169,3,3,1.2,1948,Northrop,Nokomis,5043,1,TRUE
2013,6,224054.92912301837,1890,4,2,1.5,1922,Seward,Longfellow,6273,0,FALSE
2006,9,272698.4615384615,1740,3,2,1.2,1915,Standish,Powderhorn,5080,0,FALSE
2014,11,257733.7007295882,2233,4,3,1.2,1941,Waite Park,Northeast,5040,1,TRUE
2015,8,406178.9751841132,2156,3,2,1.2,1947,Kenny,Southwest,6350,1,TRUE
2014,10,314800.8996335762,2328,4,2,1,1958,Armatage,Southwest,5715,0,FALSE
2015,7,413759.24447767966,2312,2,2,1,1947,Armatage,Southwest,8024,1,TRUE
2015,4,556638.4164049072,3080,5,3,2.2,1914,King Field,Southwest,6261,1,TRUE
2015,6,449348.01331330446,3570,3,2,1,1989,Hiawatha,Longfellow,10579,1,TRUE
2015,4,791299.7095952113,4076,6,3,2.5,1900,Lowry Hill,Calhoun-Isles,5748,2,TRUE
2015,8,262120.83198548105,2048,3,2,1.7,1920,Minnehaha,Nokomis,5080,0,FALSE
2014,2,366573.3700705167,2286,3,2,1,1924,Fulton,Southwest,5418,1,TRUE
2012,11,111491.94158677444,1672,3,1,1.7,1900,Sheridan,Northeast,4250,0,FALSE
2007,6,261265.23639943253,1384,1,1,1,1941,Fulton,Southwest,5080,0,FALSE
2006,1,310475.46412443556,2052,3,3,2,1926,Willard - Hay,Near North,5888,1,TRUE
2006,2,245669.80942828488,1531,3,1,1.7,1913,Standish,Powderhorn,5000,0,FALSE
2007,6,273706.4381327388,2461,3,3,1.5,1905,Minnehaha,Nokomis,13056,0,FALSE
2007,11,171202.74718498916,2373,4,1,1.2,1921,Hiawatha,Longfellow,4329,1,TRUE
2015,5,337236.72052016656,2366,4,1,1.2,1918,Cooper,Longfellow,5160,0,FALSE
2008,9,353382.0364862457,2727,4,3,1.2,1924,Audubon Park,Northeast,5000,0,FALSE
2014,10,170485.48203681086,1220,2,1,1.7,1900,Bottineau,Northeast,4096,0,FALSE
2011,11,170128.04387922646,2160,3,2,1.5,1900,Lyndale,Powderhorn,5289,0,FALSE
2013,5,233482.85631735326,1610,3,1,2,1952,Bancroft,Powderhorn,5090,0,FALSE
2014,1,115056.95148073851,1288,2,1,1,1928,Victory,Camden,5066,0,FALSE
2009,8,239221.2286198334,1720,3,1,1.2,1946,Waite Park,Northeast,5005,0,FALSE
2012,5,231092.76691749052,2433,2,1,1.2,1922,Audubon Park,Northeast,5000,1,TRUE
2015,6,303651.63912697707,2328,4,2,2.2,1937,Hiawatha,Longfellow,5776,1,TRUE
2015,9,444003.8063478429,2896,3,3,1.5,1940,Diamond Lake,Nokomis,6900,1,TRUE
2013,11,267625.93763349,2220,3,2,1,1955,Armatage,Southwest,6350,2,TRUE
2007,5,324095.9473773307,1990,4,2,2,1924,Cooper,Longfellow,6750,0,FALSE
2007,8,453157.0254301358,2421,3,3,2,1921,Lynnhurst,Southwest,5400,1,TRUE
2012,6,340156.55248464056,2634,3,3,1.2,1932,Hale,Nokomis,4909,1,TRUE
2007,9,438881.9786427041,2339,3,2,2,1923,Bryn - Mawr,Calhoun-Isles,5120,1,TRUE
2007,6,273706.4381327388,1680,2,1,1,1977,Bryn - Mawr,Calhoun-Isles,5400,0,FALSE
2007,8,144017.02725998836,722,1,1,1,1950,Lind - Bohanon,Camden,5482,0,FALSE
2006,6,202017.49692765114,1440,2,1,1,1948,Hiawatha,Longfellow,5040,0,FALSE
2012,7,151046.80904676495,1388,2,1,1.2,1928,Morris Park,Nokomis,5120,0,FALSE
2013,8,132525.52943595368,1760,2,2,1.5,1902,Webber - Camden,Camden,6400,0,FALSE
2007,9,333797.56122121157,1773,4,2,1.2,1945,Hale,Nokomis,7301,0,FALSE
2013,6,521315.924197122,2840,3,3,2,1937,Lynnhurst,Southwest,10580,2,TRUE
2015,8,2328759.457722249,6053,6,6,2.2,2010,Kenwood,Calhoun-Isles,7992,2,TRUE
2005,4,193001.9617965927,2250,3,1,1.2,1936,Jordan,Near North,5880,1,TRUE
2014,9,194336.69786968845,2060,5,2,1.2,1926,Victory,Camden,6407,0,FALSE
2014,8,325727.2803840647,2740,4,1,1.7,1910,Linden Hills,Southwest,3612,0,FALSE
2005,7,521203.9815289892,2491,4,2,1.2,1927,Howe,Longfellow,5376,1,TRUE
2011,3,502826.5021565058,2181,3,2,1.2,1948,Armatage,Southwest,6350,1,TRUE
2007,11,657296.2615137977,2151,3,2,1.7,1900,ECCO,Calhoun-Isles,5331,1,TRUE
2009,10,240546.3421843896,2621,3,3,1.2,1913,Bancroft,Powderhorn,5680,0,FALSE
2014,10,290476.8563366045,2440,3,1,1,1957,Seward,Longfellow,5000,0,FALSE
2015,11,216535.02732998063,1482,2,1,1.2,1946,Wenonah,Nokomis,4960,0,FALSE
2008,6,256563.70784915137,1747,2,1,1.5,1922,Windom Park,Northeast,5080,0,FALSE
2009,9,106809.06323977004,1806,3,1,2,1916,Folwell,Camden,5052,0,FALSE
2009,7,339801.38408949086,1791,3,2,1.2,1945,Hale,Nokomis,4928,0,FALSE
2013,7,226938.25676255906,1812,3,2,1.2,1946,Wenonah,Nokomis,5120,0,FALSE
2015,9,145468.23973254513,2455,3,2,1.5,1915,McKinley,Camden,5819,0,FALSE
2014,7,778363.6409569765,2881,3,2,1.7,1903,Fulton,Southwest,9490,1,TRUE
2005,10,239565.24359618285,1764,3,1,2,1910,Willard - Hay,Near North,4800,0,FALSE
2005,9,354054.08450704225,2072,3,2,1.2,1950,Ericsson,Nokomis,5080,0,FALSE
2009,8,295586.01035066956,2152,3,1,1.2,1939,Windom Park,Northeast,6615,1,TRUE
2005,3,300416.3645779389,2185,3,2,1.7,1914,Hiawatha,Longfellow,5040,0,FALSE
2005,6,319318.41817243164,2278,3,2,1.2,1920,Northrop,Nokomis,5250,0,FALSE
2015,5,243680.72708553972,2045,4,2,1.2,1917,Corcoran,Powderhorn,7182,0,FALSE
2010,5,162556.43609922225,2304,4,1,1.2,1925,Victory,Camden,5066,1,TRUE
2006,1,131305.24836929253,1415,2,1,1.5,1913,Audubon Park,Northeast,4680,0,FALSE
2014,2,186077.85282767346,2038,4,2,1.7,1912,Northeast Park,Northeast,6250,0,FALSE
2007,5,520623.53993857466,2800,4,1,2,1923,Fulton,Southwest,5120,1,TRUE
2005,5,308629.71074380167,2212,4,2,1.7,1900,Seward,Longfellow,8210,0,FALSE
2006,5,292661.61947342276,1908,4,2,1.2,1918,Como,University,5240,0,FALSE
2012,12,214090.4502618707,2826,3,3,2,2005,Lind - Bohanon,Camden,5376,1,TRUE
2010,9,341363.5826365823,2436,3,2,1.2,1928,Cooper,Longfellow,6450,0,FALSE
2015,5,221162.01703790278,1868,2,1,1.7,1929,Cleveland,Camden,5047,1,TRUE
2005,11,154876.6077738516,1544,2,1,1,1922,Cleveland,Camden,5108,0,FALSE
2013,3,332988.35036722606,2228,3,1,1.7,1917,East Harriet,Southwest,5628,0,FALSE
2013,10,179298.06692372542,1876,3,1,1.5,1917,Standish,Powderhorn,5040,0,FALSE
2015,9,155238.49463995485,1377,2,2,1.5,1911,Lind - Bohanon,Camden,5072,0,FALSE
2005,8,283027.9065782764,1587,2,1,1.5,1922,Windom Park,Northeast,5160,0,FALSE
2015,12,279770.8286893141,3071,3,2,1.2,1952,Cooper,Longfellow,5160,2,TRUE
2012,3,287338.7614889405,2026,4,2,2.2,1907,King Field,Southwest,4840,1,TRUE
2010,3,355859.82250072464,2392,3,2,1.2,1940,Windom,Southwest,6400,1,TRUE
2007,6,515687.8118455466,2548,3,2,2,1923,Fulton,Southwest,5080,1,TRUE
2005,9,192589.85915492958,2206,3,1,1.7,1906,Jordan,Near North,5000,0,FALSE
2014,11,146328.33578779912,1934,2,1,1.5,1914,Powderhorn Park,Powderhorn,5086,0,FALSE
2015,1,395390.1008319595,2105,4,2,1.2,1946,Kenny,Southwest,5600,1,TRUE
2010,12,245577.85115570232,1704,4,2,1,1989,Sheridan,Northeast,6336,0,FALSE
2005,8,184066.0887302397,1400,3,1,1.5,1900,Hawthorne,Near North,5040,0,FALSE
2013,5,366901.63135584083,2126,4,3,1.2,1947,Armatage,Southwest,6405,1,TRUE
2005,4,299485.8027878162,2296,3,1,2,1927,Keewaydin,Nokomis,3904,1,TRUE
2015,9,421206.5448972202,1966,3,2,2,1926,Lynnhurst,Southwest,5120,1,TRUE
2015,10,336089.8890772422,2392,3,2,2,1921,Cooper,Longfellow,6172,1,TRUE
2015,3,105871.55303929214,1949,4,1,2,1907,Jordan,Near North,7500,0,FALSE
2013,10,764637.2946347182,2976,3,2,2.2,1920,Fulton,Southwest,8340,1,TRUE
2005,3,226981.25323666495,1646,3,1,1.5,1917,Webber - Camden,Camden,7578,0,FALSE
2008,12,286609.33405235625,2786,5,3,2,1949,Armatage,Southwest,5120,0,FALSE
2010,3,290618.85504225845,2988,3,3,2,1928,Willard - Hay,Near North,6600,1,TRUE
2007,10,123617.23493474834,1430,2,1,1.5,1911,Jordan,Near North,5132,0,FALSE
2005,6,399314.4037170883,2324,4,2,1.2,1927,Fulton,Southwest,5418,1,TRUE
2015,7,349962.3347925086,1998,3,2,1.2,1920,Windom,Southwest,6834,1,TRUE
2006,4,269771.00149476837,1866,3,1,1.2,1922,Folwell,Camden,4992,0,FALSE
2011,8,199548.88415168106,2680,5,4,1.5,1914,Powderhorn Park,Powderhorn,4906,0,FALSE
2012,2,198735.263588944,2544,3,3,2.2,1903,CARAG,Calhoun-Isles,5376,0,FALSE
2010,4,227579.3139929072,1892,4,1,2,1900,Logan Park,Northeast,5174,0,FALSE
2011,6,286603.6386929174,2400,3,2,1.5,1927,Minnehaha,Nokomis,5400,0,FALSE
2012,4,189554.13701475214,1905,3,1,1.7,1916,Regina,Nokomis,4840,0,FALSE
2010,2,204093.9060479287,2228,2,1,1.2,1917,Northrop,Nokomis,4845,0,FALSE
2007,7,397410.8273965212,3477,3,2,2.2,1905,Windom Park,Northeast,5074,0,FALSE
2012,5,966249.5861625707,4556,6,5,2,2011,Linden Hills,Southwest,9810,1,TRUE
2006,9,622947.5345167653,2899,3,2,1.5,1926,Page,Nokomis,6000,1,TRUE
2006,1,239971.66081284496,2048,3,1,1.2,1952,Lind - Bohanon,Camden,6500,0,FALSE
2005,4,286175.3226639133,2128,3,2,1.2,1950,Kenny,Southwest,4826,0,FALSE
2010,9,295297.2168136525,2664,3,3,2,1925,Ericsson,Nokomis,5040,1,TRUE
2008,9,270808.43396062625,2264,4,2,1,1956,Armatage,Southwest,5904,2,TRUE
2009,6,230467.9361236557,2353,3,2,1.2,1952,Diamond Lake,Nokomis,5280,0,FALSE
2007,3,185247.26238260395,904,2,1,1.2,1907,Hiawatha,Longfellow,5120,0,FALSE
2013,5,1056231.9690546934,4070,5,4,1.5,1965,Lynnhurst,Southwest,13500,3,TRUE
2011,11,113380.86446654252,1849,2,2,1.5,1918,Northrop,Nokomis,5420,0,FALSE
2008,9,189353.87455054664,1776,1,2,1.2,1923,Northrop,Nokomis,5449,1,TRUE
2011,5,448112.0717418574,2516,4,2,2,1927,Windom,Southwest,10824,1,TRUE
2006,10,177501.41654284298,1756,2,2,1.5,1921,Jordan,Near North,5250,0,FALSE
2013,7,204797.93902962646,2484,4,2,1.5,1911,Como,University,5240,0,FALSE
2014,6,288546.909973823,3036,5,2,1.7,1900,Windom Park,Northeast,4996,0,FALSE
2006,4,1233238.863976084,4432,4,3,2,1935,Linden Hills,Southwest,9525,2,TRUE
2005,1,457516.49269311066,2872,4,2,1.7,1928,Hiawatha,Longfellow,6500,1,TRUE
2005,7,295657.5885069266,1638,2,1,1.5,1914,Cooper,Longfellow,5160,0,FALSE
2009,8,256387.95460558383,1740,2,1,1.7,1916,Bancroft,Powderhorn,4994,1,TRUE
2006,11,214427.88118811883,1728,3,1,1.2,1951,McKinley,Camden,5814,0,FALSE
2015,6,265790.1092751318,2172,2,2,1.2,1913,Corcoran,Powderhorn,8772,1,TRUE
2008,8,265263.15789473685,1743,3,1,1.2,1950,Windom Park,Northeast,9025,0,FALSE
2006,11,291009.2673267327,1514,3,1,1.5,1911,Central,Powderhorn,3861,0,FALSE
2007,10,714719.3345762227,2872,5,4,1.5,1928,Linden Hills,Southwest,5376,0,FALSE
2013,6,152967.40235324486,1946,4,2,1,1954,Marshall Terrace,Northeast,7385,0,FALSE
2007,7,184423.4620886981,2188,3,1,1.2,1928,Jordan,Near North,5108,0,FALSE
2012,6,195181.04006581364,1608,2,2,1,1950,Windom,Southwest,6250,0,FALSE
2007,12,221920.44266830618,2304,3,2,2,2007,Jordan,Near North,6279,0,FALSE
2015,7,365992.7976675601,2192,3,2,1.2,1923,Ericsson,Nokomis,5040,1,TRUE
2005,12,318733.4558303887,2438,3,2,1,1955,Northrop,Nokomis,8016,2,TRUE
2014,1,210389.85413620755,1767,3,1,1.5,1915,Howe,Longfellow,5376,0,FALSE
2010,1,285340.9696167145,2362,4,2,1.5,1932,Windom,Southwest,5670,1,TRUE
2006,2,283166.78034102306,2334,3,1,1.5,1925,Bryant,Powderhorn,5031,1,TRUE
2006,12,272930.3791235845,1678,3,2,1.2,1914,Hiawatha,Longfellow,8132,0,FALSE
2010,6,1958616.7523791546,5587,5,5,2,1930,Kenwood,Calhoun-Isles,9350,2,TRUE
2009,10,589338.5383517544,3339,3,2,1.7,1900,Field,Nokomis,6730,1,TRUE
2006,6,622201.6253716551,2566,3,2,2,1933,Lynnhurst,Southwest,6300,1,TRUE
2007,3,154351.78675811543,2149,4,1,1.2,1919,Willard - Hay,Near North,5160,0,FALSE
2006,10,389353.82664685487,1603,3,2,1.7,1908,Whittier,Powderhorn,5142,0,FALSE
2005,9,286764.35492957744,1392,3,2,1,1925,Regina,Nokomis,4840,0,FALSE
2015,6,270129.53963064414,2456,4,4,2.5,2001,St. Anthony West,Northeast,5169,0,FALSE
2009,8,137621.01696488666,1964,3,2,1,1958,Shingle Creek,Camden,4996,0,FALSE
2010,5,225324.5782134475,2031,4,1,1.2,1925,Howe,Longfellow,5600,0,FALSE
2015,7,154888.9318332675,1545,3,1,1.2,1942,Diamond Lake,Nokomis,6080,0,FALSE
2006,4,924929.1479820629,3816,4,4,2,1958,Cedar - Isles - Dean,Calhoun-Isles,11935,2,TRUE
2006,9,247907.69230769228,2144,3,2,1.2,1956,Webber - Camden,Camden,5071,0,FALSE
2012,8,156992.31900068722,1940,2,1,1,1955,Windom Park,Northeast,4960,2,TRUE
2012,8,402573.16086604795,2538,4,3,1.5,1927,Tangletown,Southwest,6400,1,TRUE
2007,8,204851.80601636274,1564,2,1,1,1949,Morris Park,Nokomis,5376,0,FALSE
2015,1,343220.5736388538,1848,3,2,2,1947,Kenny,Southwest,6350,1,TRUE
2006,11,208684.27722772278,2028,2,2,1,1954,Standish,Powderhorn,5300,2,TRUE
2005,10,874089.4023103969,3896,4,4,2,1921,Lynnhurst,Southwest,8400,1,TRUE
2014,1,432833.29366563534,2529,3,3,2,1932,Howe,Longfellow,7170,3,TRUE
2009,10,233401.4013274275,2080,2,1,1.2,1925,Longfellow,Longfellow,5120,0,FALSE
2009,6,146443.16774523957,2604,4,2,1.5,1925,Willard - Hay,Near North,4875,1,TRUE
2013,7,365315.2425933877,2328,3,2,1.2,1942,Kenny,Southwest,6750,1,TRUE
2013,12,184537.39151922087,1344,3,1,2,1893,Lyndale,Powderhorn,2728,0,FALSE
2015,7,325483.38472655165,2373,3,2,1.2,1925,Howe,Longfellow,5120,2,TRUE
2014,3,158390.02152287017,1536,3,1,1.5,1916,Marshall Terrace,Northeast,4760,1,TRUE
2015,8,227460.2261031034,1934,2,2,1.2,1923,Wenonah,Nokomis,6407,0,FALSE
2013,7,185425.16101331046,2571,3,1,1.5,1912,Webber - Camden,Camden,6400,0,FALSE
2010,10,329585.31741502497,2426,3,2,1.2,1932,Keewaydin,Nokomis,5040,1,TRUE
2005,12,227759.71731448764,2496,4,1,1,1953,Jordan,Near North,7449,2,TRUE
2013,9,210856.9862638304,2180,3,2,1.5,1930,Windom,Southwest,6738,0,FALSE
2008,3,172729.807728346,1536,2,2,1,1922,Longfellow,Longfellow,5040,0,FALSE
2007,3,376648.50161724014,4344,5,4,2,2007,Linden Hills,Southwest,6400,1,TRUE
2010,6,206663.7433874005,1604,3,1,1.7,1912,Northrop,Nokomis,4082,0,FALSE
2006,1,517459.10687405925,4531,5,4,2,2006,Lynnhurst,Southwest,7740,1,TRUE
2015,6,251144.53182527758,1788,3,2,1.5,1910,Northrop,Nokomis,4082,0,FALSE
2014,8,335824.8260759707,2415,3,2,1.5,1937,Page,Nokomis,4760,1,TRUE
2009,12,212335.5555862285,2534,6,2,2.5,1906,Central,Powderhorn,5761,0,FALSE
2012,12,390269.0499565351,3526,3,4,2,1987,St. Anthony East,Northeast,8029,1,TRUE
2005,3,232321.9886069394,1492,2,1,1,1920,Minnehaha,Nokomis,5400,0,FALSE
2005,6,445901.0841507486,1728,2,2,1.2,1928,Fulton,Southwest,5080,1,TRUE
2015,5,203429.89270087468,1612,3,2,1,1922,Howe,Longfellow,6477,0,FALSE
2014,5,263354.4433094995,1922,3,1,1.2,1952,Kenny,Southwest,5080,0,FALSE
2013,7,213543.36453413483,1913,3,1,1.7,1913,Holland,Northeast,5675,0,FALSE
2013,8,154613.1176752793,1135,1,1,1,1917,Howe,Longfellow,5376,0,FALSE
2014,9,179245.7475881875,1914,4,1,1.5,1900,Windom Park,Northeast,3526,0,FALSE
2005,8,212859.28403875575,2370,4,1,1.2,1927,Folwell,Camden,5580,0,FALSE
2007,6,307919.7428993312,2573,3,2,1.7,1908,Cooper,Longfellow,6750,0,FALSE
2011,7,121822.82659331395,1848,3,1,2.2,1909,Cleveland,Camden,5363,0,FALSE
2005,1,361976.2839248434,2591,2,2,1.2,1922,Linden Hills,Southwest,5628,1,TRUE
